species_name,species_id,mean_weight,mean_hindfoot_length,n_records,n_plots,n_years
Dipodomys merriami,DM,43.16,35.98,10596,24,26
Chaetodipus penicillatus,PP,17.17,21.75,3123,24,26
Dipodomys ordii,DO,48.87,35.61,3027,23,26
Chaetodipus baileyi,PB,31.74,26.12,2891,23,8
Reithrodontomys megalotis,RM,10.59,16.44,2609,24,26
Dipodomys spectabilis,DS,120.13,49.95,2504,24,21
Onychomys torridus,OT,24.23,20.27,2249,24,26
Perognathus flavus,PF,7.92,15.58,1597,23,24
Peromyscus eremicus,PE,21.59,20.2,1299,24,26
Neotoma albigula,NL,159.25,32.29,1252,24,26
Onychomys leucogaster,OL,31.58,20.53,1006,23,22
Peromyscus maniculatus,PM,21.36,20.43,899,24,20
Sigmodon hispidus,SH,73.15,28.55,147,17,15
Reithrodontomys fulvescens,RF,13.39,17.52,75,17,5
Baiomys taylori,BA,8.6,13.0,46,8,4
Sigmodon ochrognathus,SO,55.41,25.66,43,8,5
Sigmodon fulviventer,SF,58.88,26.71,43,10,6
Peromyscus leucopus,PL,19.14,20.03,36,11,5
Perognathus hispidus,PH,31.06,25.77,32,9,9
Onychomys sp.,OX,21.0,19.12,12,8,6
Chaetodipus intermedius,PI,19.25,22.22,9,4,4
Reithrodontomys montanus,RO,10.25,15.38,8,6,2
Chaetodipus sp.,PX,19.0,19.5,6,4,4
Reithrodontomys sp.,RX,15.5,18.5,2,2,2
