actual_temp_c,predicted_temp_c,residual
0.65,0.65,-0.0
1.02,0.73,0.29
0.33,0.6,-0.27
0.39,0.55,-0.16
0.82,0.68,0.14
0.57,0.64,-0.07
0.61,0.65,-0.04
1.73,1.6,0.13
0.49,0.64,-0.15
0.59,0.65,-0.06
0.53,0.64,-0.11
1.59,1.63,-0.04
0.73,0.66,0.07
1.32,1.6,-0.28
0.57,0.64,-0.07
0.81,0.68,0.13
0.95,0.72,0.23
0.56,0.66,-0.1
0.63,0.64,-0.01
0.04,0.57,-0.53
1.73,1.6,0.13
0.57,0.64,-0.07
0.97,0.71,0.26
0.95,0.72,0.23
1.51,1.65,-0.14
1.32,1.6,-0.28
1.07,0.73,0.34
0.95,0.72,0.23
0.57,0.64,-0.07
0.66,0.66,0.0
0.74,0.66,0.08
0.63,0.65,-0.02
1.32,1.6,-0.28
1.6,1.62,-0.02
0.53,0.64,-0.11
0.45,0.63,-0.18
0.72,0.65,0.07
1.76,1.61,0.15
1.39,1.65,-0.26
1.32,1.6,-0.28
1.68,1.59,0.09
1.45,1.65,-0.2
0.69,0.73,-0.04
1.43,1.62,-0.19
1.73,1.6,0.13
1.2,1.61,-0.41
0.61,0.67,-0.06
0.58,0.64,-0.06
0.52,0.63,-0.11
0.58,0.64,-0.06
0.6,0.64,-0.04
0.76,0.68,0.08
0.63,0.64,-0.01
1.8,1.59,0.21
0.9,0.71,0.19
0.98,0.72,0.26
1.39,1.66,-0.27
1.32,1.6,-0.28
0.55,0.64,-0.09
1.74,1.61,0.13
